Date	Time	Severity	PID	TID	Function	Message
03-04-2026	11:52:11.095	 INFO	 52888	 30948	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2026	11:52:11.098	 INFO	 52888	 30948	DllMain	"PROCESS ATTACHED"
03-04-2026	11:52:11.099	 INFO	 52888	 41896	LateInitialization	"Intialization..."
03-04-2026	11:52:11.100	 INFO	 52888	 41896	LoadDisplayDevicesName	"DisplayDevices : "
03-04-2026	11:52:11.102	 INFO	 52888	 41896	LoadDisplayDevicesName	"\\.\DISPLAY1"
03-04-2026	11:52:11.103	 INFO	 52888	 41896	LoadDisplayDevicesName	"\\.\DISPLAY2"
03-04-2026	11:52:11.104	 INFO	 52888	 41896	LoadDisplayDevicesName	"\\.\DISPLAY3"
03-04-2026	11:52:11.107	 INFO	 52888	 41896	LoadDisplayDevicesName	"\\.\DISPLAY4"
03-04-2026	11:52:11.112	ERROR	 52888	 41896	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
03-04-2026	11:52:11.113	 INFO	 52888	 41896	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 70546718
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
03-04-2026	11:52:11.114	 INFO	 52888	 41896	LateInitialization	"Intialization finished"
03-04-2026	11:52:12.227	 INFO	 39844	 34216	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2026	11:52:12.229	 INFO	 39844	 34216	DllMain	"PROCESS ATTACHED"
03-04-2026	11:52:12.230	 INFO	 39844	 60188	LateInitialization	"Intialization..."
03-04-2026	11:52:12.231	 INFO	 39844	 60188	LoadDisplayDevicesName	"DisplayDevices : "
03-04-2026	11:52:12.232	 INFO	 39844	 60188	LoadDisplayDevicesName	"\\.\DISPLAY1"
03-04-2026	11:52:12.234	 INFO	 39844	 60188	LoadDisplayDevicesName	"\\.\DISPLAY2"
03-04-2026	11:52:12.235	 INFO	 39844	 60188	LoadDisplayDevicesName	"\\.\DISPLAY3"
03-04-2026	11:52:12.236	 INFO	 39844	 60188	LoadDisplayDevicesName	"\\.\DISPLAY4"
03-04-2026	11:52:12.243	ERROR	 39844	 60188	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
03-04-2026	11:52:12.244	 INFO	 39844	 60188	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 70547843
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
03-04-2026	11:52:12.245	 INFO	 39844	 60188	LateInitialization	"Intialization finished"
03-04-2026	23:09:16.792	 INFO	 49788	 18940	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2026	23:09:16.796	 INFO	 49788	 18940	DllMain	"PROCESS ATTACHED"
03-04-2026	23:09:16.799	 INFO	 49788	 52800	LateInitialization	"Intialization..."
03-04-2026	23:09:16.801	 INFO	 49788	 52800	LoadDisplayDevicesName	"DisplayDevices : "
03-04-2026	23:09:16.803	 INFO	 49788	 52800	LoadDisplayDevicesName	"\\.\DISPLAY1"
03-04-2026	23:09:16.804	 INFO	 49788	 52800	LoadDisplayDevicesName	"\\.\DISPLAY2"
